"","subjid","weekday","ageyears","agegroup","language","order","timelinefirst","task","linenum","itemtype","itemnum","item","linelength","distfrommid","distfrommid2","response1","response2","response","correctr","prompts","exclude","DaysOfWeek_Correct","Num_Prompts","correctR","correct","dist.error","dist.error.a","resp.stat","resp.stat.1","item.stat","stat.correct","stat.correct.1","resp.remoteness","cor.remote"
"1","01LS","2",3.11,"3","german","1",0,"timeline","1","event","1","breakfast",14.6,-6.1,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"2","01LS","2",3.11,"3","german","1",0,"timeline","1","event","2","nextbday",14.6,6.9,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"3","01LS","2",3.11,"3","german","1",0,"timeline","1","event","3","dinner",14.6,4.1,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"4","01LS","2",3.11,"3","german","1",0,"timeline","1","event","4","lastbday",14.6,7.3,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"5","01LS","2",3.11,"3","german","1",0,"timeline","2","deictic","1","lastweek",14.6,-7,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"6","01LS","2",3.11,"3","german","1",0,"timeline","2","deictic","2","tomorrow",14.6,7.1,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"7","01LS","2",3.11,"3","german","1",0,"timeline","2","deictic","3","tonight",14.6,-7.3,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,1,0,0,NA,NA
"8","01LS","2",3.11,"3","german","1",0,"timeline","2","deictic","4","thismorning",14.6,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"9","01LS","2",3.11,"3","german","1",0,"timeline","3","deictic","1","nextweek",14.6,6.5,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"10","01LS","2",3.11,"3","german","1",0,"timeline","3","deictic","2","nextyear",14.6,7.2,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"11","01LS","2",3.11,"3","german","1",0,"timeline","3","deictic","3","yesterday",14.6,5.3,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"12","01LS","2",3.11,"3","german","1",0,"timeline","3","deictic","4","lastyear",14.6,2.6,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"13","01LS","2",3.11,"3","german","1",0,"timeline","4","deictic","1","yesterday",14.6,7.2,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"14","01LS","2",3.11,"3","german","1",0,"timeline","4","deictic","2","tomorrow",14.6,6.8,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"15","01LS","2",3.11,"3","german","1",0,"timeline","4","deictic","3","aftertomorrow",14.6,7,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"16","01LS","2",3.11,"3","german","1",0,"timeline","4","deictic","4","beforeyesterday",14.6,6.9,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"17","01LS","2",3.11,"3","german","1",0,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,2,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"18","01LS","2",3.11,"3","german","1",0,"calendar","1","deictic","1","beforeyesterday",NA,NA,NA,NA,3,3,3,NA,0,NA,NA,2,0,-1,1,0,0,0,1,1,1,"0"
"19","01LS","2",3.11,"3","german","1",0,"calendar","2","deictic","2","aftertomorrow",NA,NA,NA,1,2,2,2,NA,0,NA,NA,6,0,4,4,0,0,1,0,0,2,"1"
"20","01LS","2",3.11,"3","german","1",0,"calendar","3","deictic","3","yesterday",NA,NA,NA,7,5,5,5,NA,0,NA,NA,3,0,-2,2,1,1,0,0,0,1,"1"
"21","01LS","2",3.11,"3","german","1",0,"calendar","4","deictic","4","tomorrow",NA,NA,NA,5,6,6,6,NA,0,NA,NA,5,0,-1,1,1,1,1,1,1,2,"0"
"22","01LS","2",3.11,"3","german","1",0,"calendar",NA,"verbal","2","aftertoday",NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,1,0,0,NA,NA
"23","01LS","2",3.11,"3","german","1",0,"calendar",NA,"verbal","3","beforetoday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"24","01LS","2",3.11,"3","german","1",0,"calendar",NA,"verbal","4","today",NA,NA,NA,NA,NA,NA,3,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"25","01LS","2",3.11,"3","german","1",0,"calendar",NA,"verbal","5","yesterday",NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"26","01LS","2",3.11,"3","german","1",0,"calendar",NA,"verbal","6","tomorrow",NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,3,NA,NA,NA,0,0,1,0,0,NA,NA
"27","03LS","4",3.1,"3","german","1",0,"timeline","1","event","1","breakfast",14.6,-7.3,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"28","03LS","4",3.1,"3","german","1",0,"timeline","1","event","2","nextbday",14.6,7.3,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"29","03LS","4",3.1,"3","german","1",0,"timeline","1","event","3","dinner",14.6,0,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,1,0,0,NA,NA
"30","03LS","4",3.1,"3","german","1",0,"timeline","1","event","4","lastbday",14.6,2.9,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"31","03LS","4",3.1,"3","german","1",0,"timeline","2","deictic","1","lastweek",14.6,0,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"32","03LS","4",3.1,"3","german","1",0,"timeline","2","deictic","2","tomorrow",14.6,7.3,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"33","03LS","4",3.1,"3","german","1",0,"timeline","2","deictic","3","tonight",14.6,-7.3,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,1,0,0,NA,NA
"34","03LS","4",3.1,"3","german","1",0,"timeline","2","deictic","4","thismorning",14.6,4.2,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,1,1,0,0,0,NA,NA
"35","03LS","4",3.1,"3","german","1",0,"timeline","3","deictic","1","nextweek",14.6,7.3,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"36","03LS","4",3.1,"3","german","1",0,"timeline","3","deictic","2","nextyear",14.6,0,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,0,0,1,0,0,NA,NA
"37","03LS","4",3.1,"3","german","1",0,"timeline","3","deictic","3","yesterday",14.6,-7.3,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"38","03LS","4",3.1,"3","german","1",0,"timeline","3","deictic","4","lastyear",14.6,-3.1,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"39","03LS","4",3.1,"3","german","1",0,"timeline","4","deictic","1","yesterday",14.6,-0.1,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"40","03LS","4",3.1,"3","german","1",0,"timeline","4","deictic","2","tomorrow",14.6,3.6,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"41","03LS","4",3.1,"3","german","1",0,"timeline","4","deictic","3","aftertomorrow",14.6,7.3,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"42","03LS","4",3.1,"3","german","1",0,"timeline","4","deictic","4","beforeyesterday",14.6,-4.7,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"43","03LS","4",3.1,"3","german","3",0,"calendar",NA,"verbal","1","daysofweek",NA,NA,NA,NA,NA,NA,7,2,0,NA,NA,7,NA,NA,NA,0,0,0,1,1,NA,NA
"44","03LS","4",3.1,"3","german","3",0,"calendar","1","deictic","1","beforeyesterday",NA,NA,NA,7,5,5,5,NA,0,NA,NA,2,0,-3,3,1,1,0,0,0,1,"0"
"45","03LS","4",3.1,"3","german","3",0,"calendar","2","deictic","2","aftertomorrow",NA,NA,NA,1,2,2,2,NA,0,NA,NA,6,0,4,4,0,0,1,0,0,2,"1"
"46","03LS","4",3.1,"3","german","3",0,"calendar","3","deictic","3","yesterday",NA,NA,NA,6,NA,6,6,NA,0,NA,NA,3,0,-3,3,1,1,0,0,0,2,"0"
"47","03LS","4",3.1,"3","german","3",0,"calendar","4","deictic","4","tomorrow",NA,NA,NA,2,2,2,3,NA,0,NA,NA,5,0,3,3,0,0,1,0,0,2,"0"
