subjid,ID,dob,dot,weekday,agedays,ageyears,agegroup,language,monolingual,site,order,timelinefirst,task,linenum,itemtype,itemnum,item,covered,linelength,distfrommid,response1,response2,response,correctr,prompts,comments,exclude
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,1,event,1,breakfast,,13,-4.5,,,1,2,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,1,event,2,nextbday,,13,-1.3,,,2,4,,Drew line exactly where E pointed on the line (see video),1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,1,event,3,dinner,,13,6,,,3,3,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,1,event,4,lastbday,,13,,,,,1,,Omission - Experimenter Error ,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,2,deictic,1,lastweek,,13,-4.8,,,1,1,,drew over line he drew accidentally during previous trial,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,2,deictic,2,inaday,,13,-3.5,,,2,4,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,2,deictic,3,twoago,,13,-2,,,3,2,,"Drew two adjacent lines, measurement taken from approximate midpoint",1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,2,deictic,4,tonight,,13,3.5,,,4,3,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,3,deictic,1,nextweek,,13,-6,,,1,4,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,3,deictic,2,dayago,,13,-4.5,,,2,1,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,3,deictic,3,twofromnow,,13,-2.5,,,3,3,,"Drew two adjacent lines, measurement taken from approximate midpoint",1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,3,deictic,4,lastnight,,13,6,,,4,2,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,4,deictic,1,tomorrow,,13,-6.5,,,1,3,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,4,deictic,2,yesterday,,13,-5.8,,,2,2,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,4,deictic,3,twofromnow,,13,-4.3,,,4,4,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,timeline,4,deictic,4,twoago,,13,-5,,,3,1,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,calendar,,verbal,1,daysofweek,,,,,,7,7,2,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,calendar,1,deictic,1,yesterday,,,,,,3,3,0,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,calendar,2,deictic,2,tomorrow,,,,,,5,5,0,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,calendar,3,deictic,3,aftertomorrow,,,,,,6,6,1,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,calendar,4,deictic,4,beforeyesterday,,,,,,2,2,0,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,calendar,,verbal,2,aftertoday,,,,,,1,1,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,calendar,,verbal,3,beforetoday,,,,,,2,2,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,calendar,,verbal,4,today,,,,,,6,7,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,calendar,,verbal,5,yesterday,,,,,,6,6,,,1
P02,139255,1/15/13,2/16/19,7,2223,6.090410959,6,english,1,,1,1,calendar,,verbal,6,tomorrow,,,,,,7,1,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,1,event,1,breakfast,,13,-1.2,,,2,2,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,1,event,2,nextbday,,13,1.6,,,4,4,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,1,event,3,dinner,,13,0.4,,,3,3,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,1,event,4,lastbday,,13,-2.7,,,1,1,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,2,deictic,1,lastweek,,13,-1.9,,,1,1,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,2,deictic,2,inaday,,13,0.7,,,4,4,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,2,deictic,3,twoago,,13,-1.1,,,2,2,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,2,deictic,4,tonight,,13,0.4,,,3,3,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,3,deictic,1,nextweek,,13,1.7,,,4,4,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,3,deictic,2,dayago,,13,-1,,,2,1,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,3,deictic,3,twofromnow,,13,-2,,,1,3,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,3,deictic,4,lastnight,,13,-0.7,,,3,2,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,4,deictic,1,tomorrow,,13,0.8,,,3,3,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,4,deictic,2,yesterday,,13,-1,,,2,2,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,4,deictic,3,twofromnow,,13,1.5,,,4,4,,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,timeline,4,deictic,4,twoago,,13,-2.1,,,1,1,,Drew pink line on previous timeline first,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,calendar,,verbal,1,daysofweek,,,,,,7,7,0,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,calendar,1,deictic,1,yesterday,,,,,,3,3,0,,1
P03,,11/4/12,2/18/19,2,,,6,english,1,,1,1,calendar,2,deictic,2,tomorrow,,,,,,5,5,0,,1
