subjid,ID,dob,dot,weekday,agedays,ageyears,agegroup,language,monolingual,order,timelinefirst,task,linenum,itemtype,itemnum,item,linelength,distfrommid,rank,distfrommid_2,response1,response2,response,correctr,prompts,comments,exclude,experimenter,DaysOfWeek_Correct,Num_Prompts
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,1,event,1,breakfast,13,-4.5,,,,,1,2,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,1,event,2,nextbday,13,-1.3,,,,,2,4,,Drew line exactly where E pointed on the line (see video),1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,1,event,3,dinner,13,6,,,,,3,3,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,1,event,4,lastbday,13,,,,,,,1,,Omission - Experimenter Error ,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,2,deictic,1,lastweek,13,-4.8,,,,,1,1,,drew over line he drew accidentally during previous trial,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,2,deictic,2,inaday,13,-3.5,,,,,2,4,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,2,deictic,3,twoago,13,-2,,,,,3,2,,"Drew two adjacent lines, measurement taken from approximate midpoint",1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,2,deictic,4,tonight,13,3.5,,,,,4,3,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,3,deictic,1,nextweek,13,-6,,,,,1,4,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,3,deictic,2,dayago,13,-4.5,,,,,2,1,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,3,deictic,3,twofromnow,13,-2.5,,,,,3,3,,"Drew two adjacent lines, measurement taken from approximate midpoint",1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,3,deictic,4,lastnight,13,6,,,,,4,2,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,4,deictic,1,tomorrow,13,-6.5,,,,,1,3,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,4,deictic,2,yesterday,13,-5.8,,,,,2,2,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,4,deictic,3,twofromnow,13,-4.3,,,,,4,4,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,timeline,4,deictic,4,twoago,13,-5,,,,,3,1,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,calendar,,verbal,1,daysofweek,,,,,,,7,7,2,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,calendar,1,deictic,1,yesterday,,,,,,,3,3,0,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,calendar,2,deictic,2,tomorrow,,,,,,,5,5,0,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,calendar,3,deictic,3,aftertomorrow,,,,,,,6,6,1,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,calendar,4,deictic,4,beforeyesterday,,,,,,,2,2,0,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,calendar,,verbal,2,aftertoday,,,,,,,1,1,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,calendar,,verbal,3,beforetoday,,,,,,,2,2,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,calendar,,verbal,4,today,,,,,,,6,7,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,calendar,,verbal,5,yesterday,,,,,,,6,6,,,1,,,
P02,139255,41289,43512,6,2223,6.090410959,6,english,1,1,1,calendar,,verbal,6,tomorrow,,,,,,,7,1,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,1,event,1,breakfast,13,-1.2,,,,,2,2,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,1,event,2,nextbday,13,1.6,,,,,4,4,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,1,event,3,dinner,13,0.4,,,,,3,3,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,1,event,4,lastbday,13,-2.7,,,,,1,1,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,2,deictic,1,lastweek,13,-1.9,,,,,1,1,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,2,deictic,2,inaday,13,0.7,,,,,4,4,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,2,deictic,3,twoago,13,-1.1,,,,,2,2,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,2,deictic,4,tonight,13,0.4,,,,,3,3,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,3,deictic,1,nextweek,13,1.7,,,,,4,4,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,3,deictic,2,dayago,13,-1,,,,,2,1,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,3,deictic,3,twofromnow,13,-2,,,,,1,3,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,3,deictic,4,lastnight,13,-0.7,,,,,3,2,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,4,deictic,1,tomorrow,13,0.8,,,,,3,3,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,4,deictic,2,yesterday,13,-1,,,,,2,2,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,4,deictic,3,twofromnow,13,1.5,,,,,4,4,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,timeline,4,deictic,4,twoago,13,-2.1,,,,,1,1,,Drew pink line on previous timeline first,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,calendar,,verbal,1,daysofweek,,,,,,,7,7,0,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,calendar,1,deictic,1,yesterday,,,,,,,3,3,0,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,calendar,2,deictic,2,tomorrow,,,,,,,5,5,0,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,calendar,3,deictic,3,aftertomorrow,,,,,,,6,6,0,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,calendar,4,deictic,4,beforeyesterday,,,,,,,2,2,0,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,calendar,,verbal,2,aftertoday,,,,,,,1,1,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,calendar,,verbal,3,beforetoday,,,,,,,2,2,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,calendar,,verbal,4,today,,,,,,,1,2,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,calendar,,verbal,5,yesterday,,,,,,,1,1,,,1,,,
P03,,41217,43514,1,2297,6.293150685,6,english,1,1,1,calendar,,verbal,6,tomorrow,,,,,,,3,3,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,1,event,1,breakfast,14,-2.7,,,,,2,2,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,1,event,2,nextbday,14,2.7,,,,,4,4,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,1,event,3,dinner,14,0.6,,,,,3,3,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,1,event,4,lastbday,14,-3.2,,,,,1,1,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,2,deictic,1,lastweek,14,-1,,,,,2,1,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,2,deictic,2,inaday,14,-0.9,,,,,3,4,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,2,deictic,3,twoago,14,-1.5,,,,,1,2,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,2,deictic,4,tonight,14,1,,,,,4,3,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,3,deictic,1,nextweek,14,0.5,,,,,4,4,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,3,deictic,2,dayago,14,-0.2,,,,,3,1,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,3,deictic,3,twofromnow,14,-0.5,,,,,2,3,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,3,deictic,4,lastnight,14,-2.1,,,,,1,2,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,4,deictic,1,tomorrow,14,1.2,,,,,3,3,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,4,deictic,2,yesterday,14,-1.3,,,,,2,2,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,4,deictic,3,twofromnow,14,1.6,,,,,4,4,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,timeline,4,deictic,4,twoago,14,-2,,,,,1,1,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,calendar,,verbal,1,daysofweek,,,,,,,7,7,0,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,calendar,1,deictic,1,yesterday,,,,,,,3,3,0,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,calendar,2,deictic,2,tomorrow,,,,,,,5,5,0,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,calendar,3,deictic,3,aftertomorrow,,,,,,,6,6,0,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,calendar,4,deictic,4,beforeyesterday,,,,,,,2,2,0,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,calendar,,verbal,2,aftertoday,,,,,,,1,1,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,calendar,,verbal,3,beforetoday,,,,,,,1,2,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,calendar,,verbal,4,today,,,,,,,6,6,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,calendar,,verbal,5,yesterday,,,,,,,5,5,,,1,,,
P04,148104,41615,43518,5,1903,5.21369863,5,english,1,1,1,calendar,,verbal,6,tomorrow,,,,,,,7,7,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,calendar,,verbal,1,daysofweek,,,,,,,5,7,2,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,calendar,1,deictic,1,yesterday,,,,,,,3,3,0,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,calendar,2,deictic,2,tomorrow,,,,,,,5,5,0,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,calendar,3,deictic,3,aftertomorrow,,,,,,,6,6,0,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,calendar,4,deictic,4,beforeyesterday,,,,,,,2,2,0,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,calendar,,verbal,2,aftertoday,,,,,,,1,1,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,calendar,,verbal,3,beforetoday,,,,,,,2,2,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,calendar,,verbal,4,today,,,,,,,7,5,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,calendar,,verbal,5,yesterday,,,,,,,4,4,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,calendar,,verbal,6,tomorrow,,,,,,,6,6,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,1,event,1,breakfast,14,-7,,,,,1,2,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,1,event,2,nextbday,14,0,,,,,3,4,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,1,event,3,dinner,14,7,,,,,4,3,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,1,event,4,lastbday,14,-1.9,,,,,2,1,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,2,deictic,1,lastweek,14,-7,,,,,1,1,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,2,deictic,2,inaday,14,0,,,,,3,4,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,2,deictic,3,twoago,14,-4.3,,,,,2,2,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,2,deictic,4,tonight,14,1.5,,,,,4,3,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,3,deictic,1,nextweek,14,7,,,,,4,4,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,3,deictic,2,dayago,14,-4.5,,,,,3,1,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,3,deictic,3,twofromnow,14,-7.1,,,,,2,3,,"the line for this and the next trial are on top of each other, so we have both of them ranked 1",1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,3,deictic,4,lastnight,14,-7,,,,,1,2,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,4,deictic,1,tomorrow,14,7.1,,,,,4,3,,"the line for this and two from now, so we have both of them ranked 1",1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,4,deictic,2,yesterday,14,0,,,,,2,2,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,4,deictic,3,twofromnow,14,7,,,,,3,4,,,1,,,
P05,136386,41622,43525,5,1903,5.21369863,5,english,1,1,0,timeline,4,deictic,4,twoago,14,-7,,,,,1,1,,,1,,,
P06,146599,41936,43528,1,1592,4.361643836,4,english,1,2,0,calendar,,verbal,1,daysofweek,,,,,,,5,7,,,1,,,
P06,146599,41936,43528,1,1592,4.361643836,4,english,1,2,0,calendar,1,deictic,1,tomorrow,,,,,,,5,5,,,1,,,
P06,146599,41936,43528,1,1592,4.361643836,4,english,1,2,0,calendar,2,deictic,2,yesterday,,,,,,,3,3,1,,1,,,
P06,146599,41936,43528,1,1592,4.361643836,4,english,1,2,0,calendar,3,deictic,3,beforeyesterday,,,,,,,2,2,1,,1,,,
P06,146599,41936,43528,1,1592,4.361643836,4,english,1,2,0,calendar,4,deictic,4,aftertomorrow,,,,,,,999,6,,"trial omitted, experimenter error",1,,,
P06,146599,41936,43528,1,1592,4.361643836,4,english,1,2,0,calendar,,verbal,2,aftertoday,,,,,,,2,1,,,1,,,
P06,146599,41936,43528,1,1592,4.361643836,4,english,1,2,0,calendar,,verbal,3,beforetoday,,,,,,,2,2,,,1,,,
P06,146599,41936,43528,1,1592,4.361643836,4,english,1,2,0,calendar,,verbal,4,today,,,,,,,1,1,,,1,,,
P06,146599,41936,43528,1,1592,4.361643836,4,english,1,2,0,calendar,,verbal,5,yesterday,,,,,,,2,7,,,1,,,
