"","X","subjid","weekday","ageyears","agegroup","language","order","timelinefirst","task","linenum","itemtype","itemnum","item","linelength","distfrommid","distfrommid_2","response1","response2","response","correctr","prompts","exclude","DaysOfWeek_Correct","Num_Prompts","correctR","correct","dist.error","dist.error.a","resp.stat","resp.stat.1","item.stat","stat.correct","stat.correct.1","resp.remoteness","cor.remote"
"1",1,"01LS",3,3.11,"3","german",1,0,"timeline",1,"event",1,"breakfast",14.6,-6.1,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"2",2,"01LS",3,3.11,"3","german",1,0,"timeline",1,"event",2,"nextbday",14.6,6.9,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"3",3,"01LS",3,3.11,"3","german",1,0,"timeline",1,"event",3,"dinner",14.6,4.1,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"4",4,"01LS",3,3.11,"3","german",1,0,"timeline",1,"event",4,"lastbday",14.6,7.3,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,1,1,0,0,0,NA,NA
"5",5,"01LS",3,3.11,"3","german",1,0,"timeline",2,"deictic",1,"lastweek",14.6,-7,NA,NA,NA,NA,1,NA,0,NA,NA,1,NA,NA,NA,0,0,0,1,1,NA,NA
"6",6,"01LS",3,3.11,"3","german",1,0,"timeline",2,"deictic",2,"tomorrow",14.6,7.1,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
"7",7,"01LS",3,3.11,"3","german",1,0,"timeline",2,"deictic",3,"tonight",14.6,-7.3,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,0,0,1,0,0,NA,NA
"8",8,"01LS",3,3.11,"3","german",1,0,"timeline",2,"deictic",4,"thismorning",14.6,NA,NA,NA,NA,NA,2,NA,0,NA,NA,2,NA,NA,NA,0,0,0,1,1,NA,NA
"9",9,"01LS",3,3.11,"3","german",1,0,"timeline",3,"deictic",1,"nextweek",14.6,6.5,NA,NA,NA,NA,3,NA,0,NA,NA,3,NA,NA,NA,1,1,1,1,1,NA,NA
"10",10,"01LS",3,3.11,"3","german",1,0,"timeline",3,"deictic",2,"nextyear",14.6,7.2,NA,NA,NA,NA,4,NA,0,NA,NA,4,NA,NA,NA,1,1,1,1,1,NA,NA
